fecha_hora,precio,aerolinea,escalas,duracion_min,precio_directo,aerolinea_directo,duracion_directo,logo_directo,logo_general,nivel_precio,tipico_min,tipico_max
2026-06-16,4721,Google (histórico),,,,,,,,,,
2026-06-17,4722,Google (histórico),,,,,,,,,,
2026-06-18,4730,Google (histórico),,,,,,,,,,
2026-06-19,4766,Google (histórico),,,,,,,,,,
2026-06-20,4757,Google (histórico),,,,,,,,,,
2026-06-21,4760,Google (histórico),,,,,,,,,,
2026-06-22,4760,Google (histórico),,,,,,,,,,
2026-06-23,4768,Google (histórico),,,,,,,,,,
2026-06-24,4790,Google (histórico),,,,,,,,,,
2026-06-25,4819,Google (histórico),,,,,,,,,,
2026-06-26,4804,Google (histórico),,,,,,,,,,
2026-06-27,4806,Google (histórico),,,,,,,,,,
2026-06-28,4802,Google (histórico),,,,,,,,,,
2026-06-29,4801,Google (histórico),,,,,,,,,,
2026-06-30,4795,Google (histórico),,,,,,,,,,
2026-07-01,4804,Google (histórico),,,,,,,,,,
2026-07-02,4805,Google (histórico),,,,,,,,,,
2026-07-03,5182,Google (histórico),,,,,,,,,,
2026-07-04,5185,Google (histórico),,,,,,,,,,
2026-07-05,5191,Google (histórico),,,,,,,,,,
2026-07-06,5192,Google (histórico),,,,,,,,,,
2026-07-07,5186,Google (histórico),,,,,,,,,,
2026-07-08,5186,Google (histórico),,,,,,,,,,
2026-07-09,5212,Google (histórico),,,,,,,,,,
2026-07-10,5205,Google (histórico),,,,,,,,,,
2026-07-11,5198,Google (histórico),,,,,,,,,,
2026-07-12,5197,Google (histórico),,,,,,,,,,
2026-07-13,5201,Google (histórico),,,,,,,,,,
2026-07-14,5259,Google (histórico),,,,,,,,,,
2026-07-15,5240,Google (histórico),,,,,,,,,,
2026-07-16,5242,Google (histórico),,,,,,,,,,
2026-07-17,5198,Google (histórico),,,,,,,,,,
2026-07-18,5201,Google (histórico),,,,,,,,,,
2026-07-19,5211,Google (histórico),,,,,,,,,,
2026-07-20,5198,Google (histórico),,,,,,,,,,
2026-07-21,5343,Google (histórico),,,,,,,,,,
2026-07-22,5341,Google (histórico),,,,,,,,,,
2026-07-23,5341,Google (histórico),,,,,,,,,,
2026-07-24,5191,Google (histórico),,,,,,,,,,
2026-07-25,5207,Google (histórico),,,,,,,,,,
2026-07-26,5364,Google (histórico),,,,,,,,,,
2026-07-27,5353,Google (histórico),,,,,,,,,,
2026-07-28,5407,Google (histórico),,,,,,,,,,
2026-07-29,5187,Google (histórico),,,,,,,,,,
2026-07-30,5181,Google (histórico),,,,,,,,,,
2026-07-31,5126,Google (histórico),,,,,,,,,,
2026-08-01,5129,Google (histórico),,,,,,,,,,
2026-08-02,5131,Google (histórico),,,,,,,,,,
2026-08-03,5147,Google (histórico),,,,,,,,,,
2026-08-04,5294,Google (histórico),,,,,,,,,,
2026-08-05,5278,Google (histórico),,,,,,,,,,
2026-08-06,5279,Google (histórico),,,,,,,,,,
2026-08-07,5261,Google (histórico),,,,,,,,,,
2026-08-08,5597,Google (histórico),,,,,,,,,,
2026-08-09,5595,Google (histórico),,,,,,,,,,
2026-08-10,5446,Google (histórico),,,,,,,,,,
2026-08-11,5106,Google (histórico),,,,,,,,,,
2026-08-12,5106,Google (histórico),,,,,,,,,,
2026-08-13,5142,Google (histórico),,,,,,,,,,
2026-08-14,5170,Google (histórico),,,,,,,,,,
2026-08-15,5171,Google (histórico),,,,,,,,,,
2026-08-15 19:29,5171,Viva,1,703,5537,Volaris,134,https://www.gstatic.com/flights/airline_logos/70px/Y4.png,https://www.gstatic.com/flights/airline_logos/70px/VB.png,high,4150,5100
2026-08-15 19:42,5171,Viva,1,703,5537,Volaris,134,https://www.gstatic.com/flights/airline_logos/70px/Y4.png,https://www.gstatic.com/flights/airline_logos/70px/VB.png,high,4150,5100
2026-08-15 21:51,5171,Viva,1,703,5537,Volaris,134,https://www.gstatic.com/flights/airline_logos/70px/Y4.png,https://www.gstatic.com/flights/airline_logos/70px/VB.png,high,4150,5100
